方名,text
乳香乌龙丹,"骨碎补,破故纸,川乌,苁蓉,牛膝,金毛狗脊,牡蛎,甜瓜子,牵牛,赤芍,自然铜,川楝子,茴香,牡丹皮,五灵脂,白芍,苍术,肉桂,细墨,木鳖子仁,没药,乳香"
乳香没药丸,"抚芎,木鳖仁,白胶香,藿香,僵蚕,五灵脂,白芷,当归,地龙,何首乌,威灵仙,草乌"
乳香宣经丸,"川楝子,牵牛,乌药,茴香,橘皮,萆薢,防风,乳香,草乌,去尖,五灵脂,淘去沙石,晒干,威灵仙"
乳香追毒丸,"巴豆,黄丹字"
乳香趁痛丸,"木瓜,肉桂,五灵脂,当归,木香,牛膝,酒浸,没药,虎骨,川乌"
乳核内消片,"柴胡,郁金,橘核,山慈菇,香附,漏芦,夏枯草,茜草,赤芍,青皮,丝瓜络,甘草"
三仙丸,"茴香,川乌,盐,苍术,葱"
参归降子汤,"当归,人参,川芎,牛膝,红花,柞木枝"
参茸虎骨酒,"虎骨,防风,红人参,贯筋,桂枝,牛膝,白花蛇,炙马,防己,陈皮,杜仲,当归,木瓜,没药,灵仙,秦艽,肉桂,鹿茸,乳香,续断,补骨脂,龟版胶,羌活,血竭"
和血通经汤,"当归,广荗,木香,地黄,肉桂,红花,贯众,苏木,血竭"
和荣汤,"白术,天南星,半夏,赤芍,茯苓,天麻,当归,地黄,地黄,牛膝,酸枣仁,黄芩,橘红,羌活,防风,肉桂,红花,甘草,黄柏"
和营止痛汤,"赤芍,当归,川芎,苏木,陈皮,乳香,桃仁,续断,乌药,没药,木通,甘草"
和营消肿汤,"当归,桃仁,红花,山栀,大贝母,花粉,丝瓜络,木通,炙甲片,乳香,没药"
固真丸,鹿角
固真丹,"沉香,茴香,桑螵蛸,当归,丁香,人参,麝香,青娘子,红娘子,木通,蜻蜒,净,穿山甲,全蝎,滑石,代赭石,滴乳,没药,琥珀,血竭,朱砂,干胭脂,黄柏,腽肭脐,银石器内用酒小碗,重阳煮干为度,蛤蚧,酥炙黄"
定痛和营汤,"当归,川芎,地黄,红花,苏木,琥珀,血竭,乳香,三七,枳壳,大黄,甘草,朱砂,牛膝,砂仁"
宝珍膏,"地黄,枳壳,五加皮,莪术,桃仁,山奈,当归,川乌,陈皮,乌药,三棱,大黄,首乌,草乌,柴胡,防风,刘寄奴,牙皂,羌活,威灵仙,赤药,天南星,香附,荆芥,白芷,海风藤,藁本,续断,高良姜,独活,麻黄,甘松,连翘,川芎,血余,东丹,肉桂,麝香,木香,附子,冰片,樟脑,茴香,乳香,没药,阿魏,细辛"
宝珍膏2,"地黄,枳壳,五加皮,莪术,桃仁,山柰,当归,川乌,橘皮,乌药,三棱,大黄,首乌,草乌,柴胡,防风,刘寄奴,猪牙皂,川芎,肉桂,羌活,威灵仙,赤芍,天南星,香附,荆芥,白芷,海风藤,藁本,续断,高良姜,独活,麻黄,甘松,连翘"
拔毒散,"芙蓉叶,黄柏,五倍子,赤芍,甘草,白芷,土贝母,赤小豆"
